order_id,order_date,ship_mode,processing_mode,rdy2ship_date,pickup_date,customer_id,customer_name,on_truck_scan_date,arrival_scan_date,origin_channel,country/region,city,state,postal_code,region,categories,sub_categories,product_ids,quantity_ttl,sales_ttl,discount_ttl,profit_ttl,order_to_truck_time,processing_time,waiting_time
CA-2019-121755,2019-01-16,Second Class,Standard Processing,,,EH-13945,Eric Hoffmann,2019-01-23,,Email,United States,Los Angeles,California,90049.0,West,"Special Projects Muesil, Power Muesli","Gluten Free, Super Fibre Boost","TEC-AC-10003027, OFF-BI-10001634",5,102.21799999999999,0.2,15.996500000000001,7.0,,
CA-2019-118255,2019-03-11,First Class,Express,,,ON-18715,Odella Nelson,2019-03-13,,Sales,United States,Eagan,Minnesota,55122.0,Central,"Special Projects Muesil, Power Muesli","Gluten Free, Super Fibre Boost","TEC-AC-10000171, OFF-BI-10003291",4,63.44,0.0,27.977600000000002,2.0,,
CA-2019-169194,2019-06-20,Standard Class,Standard Processing,,,LH-16900,Lena Hernandez,2019-06-26,,Email,United States,Dover,Delaware,19901.0,East,"Special Projects Muesil, Special Projects Muesil","Gluten Free, Only Oats","TEC-AC-10002167, TEC-PH-10003988",5,66.8,0.0,11.054,6.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,"Special Projects Muesil, Power Muesli, Power Muesli, Power Muesli, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Nuts and more, Nuts and more, Steel Cut, Super Fibre Boost, Super Mega Protein, With Nuts","TEC-AC-10002167, OFF-PA-10001569, OFF-PA-10000587, OFF-ST-10000604, OFF-BI-10001460, OFF-AR-10001868, FUR-CH-10003968",25,655.09,0.30000000000000004,102.2808,2.0,,
CA-2018-135545,2018-11-24,Standard Class,,,,KM-16720,Kunst Miller,,,Email,United States,Los Angeles,California,90004.0,West,"Special Projects Muesil, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Nuts and more, Super Fibre Boost, With Fruit and Nuts","TEC-AC-10004633, OFF-PA-10003892, OFF-BI-10001078, FUR-FU-10000397",15,266.294,0.2,106.8083,,,
CA-2020-155558,2020-10-26,Standard Class,Standard Processing,,,PG-18895,Paul Gonzalez,2020-11-04,,Email,United States,Rochester,Minnesota,55901.0,Central,"Special Projects Muesil, Power Muesli","Gluten Free, No Taste All Power","TEC-AC-10001998, OFF-LA-10000134",3,26.15,0.0,9.7534,9.0,,
CA-2019-158568,2019-08-29,Standard Class,Standard Processing,,,RB-19465,Rick Bensley,2019-09-04,,Facebook,United States,Chicago,Illinois,60610.0,Central,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Nuts and more, Super Fibre Boost","TEC-AC-10001767, OFF-PA-10003256, OFF-BI-10002609",13,162.388,1.2000000000000002,8.781500000000001,6.0,,
US-2018-156867,2018-11-13,Standard Class,,,,LC-16870,Lena Cacioppo,,,Email,United States,Aurora,Colorado,80013.0,West,"Special Projects Muesil, Power Muesli, Toasted Muesli","Gluten Free, Super Fibre Boost, With Fruit and Nuts","TEC-AC-10001552, OFF-BI-10002794, FUR-FU-10004006",12,378.138,1.0999999999999999,-56.5317,,,
CA-2020-119004,2020-11-23,Standard Class,Standard Processing,2020-11-30,2020-12-02,JM-15250,Janet Martin,2020-12-02,,Email,United States,Charlotte,North Carolina,28205.0,South,"Special Projects Muesil, Special Projects Muesil, Power Muesli","Gluten Free, Only Oats, Super Mega Protein","TEC-AC-10003499, TEC-PH-10002844, OFF-AR-10000390",10,105.408,0.6000000000000001,20.774800000000003,9.0,7.0,2.0
CA-2018-129476,2018-10-15,Standard Class,,,,PA-19060,Pete Armstrong,,,Facebook,United States,Orland Park,Illinois,60462.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000844,5,339.96,0.2,67.992,,,
CA-2018-119697,2018-12-28,Second Class,,,,EM-13960,Eric Murdock,,,Email,United States,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003657,2,54.384,0.2,1.3596,,,
CA-2017-166191,2017-12-05,Second Class,,,,DK-13150,David Kendrick,,,Sales,United States,Decatur,Illinois,62521.0,Central,"Special Projects Muesil, Power Muesli","Gluten Free, Steel Cut","TEC-AC-10004659, OFF-ST-10003455",9,433.56,0.4,78.5007,,,
CA-2017-158274,2017-11-19,Second Class,,,,RM-19675,Robert Marley,,,Facebook,United States,Monroe,Louisiana,71203.0,South,"Special Projects Muesil, Special Projects Muesil, Special Projects Muesil","Gluten Free, Only Oats, Only Oats","TEC-AC-10002345, TEC-PH-10003273, TEC-PH-10004896",11,682.91,0.0,180.26559999999998,,,
CA-2017-123260,2017-08-26,Standard Class,,,,FM-14290,Frank Merwin,,,Facebook,United States,Los Angeles,California,90032.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002323,8,176.8,0.0,22.984,,,
CA-2018-101007,2018-02-09,Second Class,,,,MS-17980,Michael Stewart,,,Sales,United States,Dallas,Texas,75220.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,2,20.8,0.2,6.5,,,
CA-2018-146262,2018-01-02,Standard Class,,,,VW-21775,Victoria Wilson,,,Sales,United States,Medina,Ohio,44256.0,East,"Special Projects Muesil, Special Projects Muesil, Power Muesli, Special Projects Muesil, Toasted Muesli","Gluten Free, Low Sugar, No Taste All Power, Only Oats, With Fruit","TEC-AC-10000109, TEC-MA-10000864, OFF-LA-10004544, TEC-PH-10002844, FUR-BO-10004695",21,1816.696,2.0,-1196.0596,,,
US-2020-100930,2020-04-07,Standard Class,Standard Processing,,,CS-12400,Christopher Schild,2020-04-15,,Facebook,United States,Tampa,Florida,33614.0,South,"Special Projects Muesil, Power Muesli, Toasted Muesli, Toasted Muesli, Toasted Muesli","Gluten Free, Super Fibre Boost, Sweetened, Sweetened, With Fruit and Nuts","TEC-AC-10003832, OFF-BI-10001679, FUR-TA-10001705, FUR-TA-10003473, FUR-FU-10004017",13,1735.8505,2.0,-361.57050000000004,8.0,,
CA-2019-145625,2019-09-11,Standard Class,Standard Processing,2019-09-17,2019-09-18,KC-16540,Kelly Collister,2019-09-18,2019-09-23,Email,United States,San Diego,California,92037.0,West,"Special Projects Muesil, Power Muesli","Gluten Free, Nuts and more","TEC-AC-10003832, OFF-PA-10004569",14,3354.98,0.0,639.577,7.0,6.0,1.0
CA-2020-163139,2020-12-01,Second Class,Standard Processing,,,CC-12670,Craig Carreira,2020-12-04,,Email,United States,New York City,New York,10009.0,East,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Steel Cut, Super Fibre Boost","TEC-AC-10000290, OFF-ST-10002790, OFF-BI-10003460",11,259.44,0.2,19.7043,3.0,,
CA-2018-155040,2018-11-10,Standard Class,,,,AH-10210,Alan Hwang,,,Email,United States,Brentwood,California,94513.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004469,2,79.9,0.0,35.156,,,
CA-2018-155334,2018-07-30,First Class,,,,HA-14920,Helen Andreada,,,Email,United States,San Francisco,California,94109.0,West,"Special Projects Muesil, Power Muesli, Toasted Muesli","Gluten Free, Super Fibre Boost, With Fruit and Nuts","TEC-AC-10003628, OFF-BI-10002557, FUR-FU-10003274",13,226.13,0.2,98.7874,,,
CA-2018-130883,2018-09-26,Standard Class,,,,TB-21520,Tracy Blumstein,,,Email,United States,Portland,Oregon,97206.0,West,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Nuts and more, Nuts and more","TEC-AC-10001956, OFF-PA-10000474, OFF-PA-10004100",16,412.664,0.6000000000000001,106.6904,,,
CA-2019-110772,2019-11-20,Second Class,Standard Processing,,,NZ-18565,Nick Zandusky,2019-11-27,,Facebook,United States,Columbus,Ohio,43229.0,East,"Special Projects Muesil, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Maple Sweetened, No Taste All Power, With Fruit","TEC-AC-10002001, OFF-FA-10002983, OFF-LA-10004689, FUR-BO-10004709",20,380.546,1.1,18.6194,7.0,,
CA-2017-164973,2017-11-04,Standard Class,,,,NM-18445,Nathan Mautz,,,Facebook,United States,New York City,New York,10024.0,East,"Special Projects Muesil, Special Projects Muesil, Special Projects Muesil, Power Muesli, Toasted Muesli","Gluten Free, Low Sugar, Only Oats, Steel Cut, With Nuts","TEC-AC-10000892, TEC-MA-10002927, TEC-PH-10004093, OFF-ST-10002974, FUR-CH-10002602",14,4807.372,0.1,2242.8404,,,
CA-2019-162138,2019-04-23,Standard Class,Standard Processing,,,GK-14620,Grace Kelly,2019-05-01,2019-05-06,Sales,United States,Hesperia,California,92345.0,West,"Special Projects Muesil, Power Muesli","Gluten Free, Super Fibre Boost","TEC-AC-10001908, OFF-BI-10004593",7,351.51,0.2,116.7405,8.0,,
CA-2019-129714,2019-09-01,First Class,Express,,,AB-10060,Adam Bellavance,2019-09-04,,Facebook,United States,New York City,New York,10009.0,East,"Special Projects Muesil, Power Muesli, Power Muesli, Power Muesli, Power Muesli","Gluten Free, Nuts and more, Nuts and more, Super Fibre Boost, Super Fibre Boost","TEC-AC-10000290, OFF-PA-10001970, OFF-PA-10001970, OFF-BI-10002160, OFF-BI-10004995",12,4438.686,0.4,1453.4346,3.0,,
US-2017-119137,2017-07-23,Standard Class,,,,AG-10900,Arthur Gainer,,,Email,United States,Tucson,Arizona,85705.0,West,"Special Projects Muesil, Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Gluten Free, Super Fibre Boost, Super Mega Protein","TEC-AC-10003911, TEC-AC-10002076, OFF-BI-10001982, OFF-AR-10000658",24,1520.376,1.3,144.46079999999998,,,
CA-2018-125395,2018-06-26,Second Class,,,,LA-16780,Laura Armstrong,,,Sales,United States,Taylor,Michigan,48180.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004708,2,41.9,0.0,8.799,,,
US-2018-168935,2018-11-27,Standard Class,,,,DO-13435,Denny Ordway,,,Email,United States,Pembroke Pines,Florida,33024.0,South,"Special Projects Muesil, Toasted Muesli","Gluten Free, Sweetened","TEC-AC-10002335, FUR-TA-10000617",6,459.4335,0.65,-158.0592,,,
CA-2020-101798,2020-12-11,Standard Class,Standard Processing,,,MV-18190,Mike Vittorini,2020-12-16,,Email,United States,New York City,New York,10009.0,East,"Special Projects Muesil, Power Muesli","Gluten Free, Super Fibre Boost","TEC-AC-10001998, OFF-BI-10000050",6,63.339999999999996,0.2,21.4772,5.0,,
