order_id,order_date,ship_mode,processing_mode,rdy2ship_date,pickup_date,customer_id,customer_name,on_truck_scan_date,arrival_scan_date,origin_channel,country/region,city,state,postal_code,region,category,sub_category,product_id,sales,quantity,discount,profit,order_to_truck_time,processing_time,waiting_time
CA-2019-121755,2019-01-16,Second Class,Standard Processing,,,EH-13945,Eric Hoffmann,2019-01-23,,Email,United States,Los Angeles,California,90049.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003027,90.57,3,0.0,11.7741,7.0,,
CA-2019-121755,2019-01-16,Second Class,Standard Processing,,,EH-13945,Eric Hoffmann,2019-01-23,,Email,United States,Los Angeles,California,90049.0,West,Power Muesli,Super Fibre Boost,OFF-BI-10001634,11.648,2,0.2,4.2224,7.0,,
CA-2019-118255,2019-03-11,First Class,Express,,,ON-18715,Odella Nelson,2019-03-13,,Sales,United States,Eagan,Minnesota,55122.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,45.98,2,0.0,19.7714,2.0,,
CA-2019-118255,2019-03-11,First Class,Express,,,ON-18715,Odella Nelson,2019-03-13,,Sales,United States,Eagan,Minnesota,55122.0,Central,Power Muesli,Super Fibre Boost,OFF-BI-10003291,17.46,2,0.0,8.2062,2.0,,
CA-2019-169194,2019-06-20,Standard Class,Standard Processing,,,LH-16900,Lena Hernandez,2019-06-26,,Email,United States,Dover,Delaware,19901.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,45.0,3,0.0,4.95,6.0,,
CA-2019-169194,2019-06-20,Standard Class,Standard Processing,,,LH-16900,Lena Hernandez,2019-06-26,,Email,United States,Dover,Delaware,19901.0,East,Special Projects Muesil,Only Oats,TEC-PH-10003988,21.8,2,0.0,6.104,6.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,30.0,2,0.0,3.3,2.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Power Muesli,Nuts and more,OFF-PA-10001569,32.4,5,0.0,15.552,2.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Power Muesli,Nuts and more,OFF-PA-10000587,14.56,2,0.0,6.9888,2.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Power Muesli,Steel Cut,OFF-ST-10000604,208.56,6,0.0,52.14,2.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Power Muesli,Super Fibre Boost,OFF-BI-10001460,48.48,4,0.2,16.362,2.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Power Muesli,Super Mega Protein,OFF-AR-10001868,1.68,1,0.0,0.84,2.0,,
CA-2019-111682,2019-06-17,First Class,Express,,,TB-21055,Ted Butterfield,2019-06-19,,Email,United States,Troy,New York,12180.0,East,Toasted Muesli,With Nuts,FUR-CH-10003968,319.41,5,0.1,7.098,2.0,,
CA-2018-135545,2018-11-24,Standard Class,,,,KM-16720,Kunst Miller,,,Email,United States,Los Angeles,California,90004.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004633,13.98,2,0.0,6.1512,,,
CA-2018-135545,2018-11-24,Standard Class,,,,KM-16720,Kunst Miller,,,Email,United States,Los Angeles,California,90004.0,West,Power Muesli,Nuts and more,OFF-PA-10003892,146.73,3,0.0,68.9631,,,
CA-2018-135545,2018-11-24,Standard Class,,,,KM-16720,Kunst Miller,,,Email,United States,Los Angeles,California,90004.0,West,Power Muesli,Super Fibre Boost,OFF-BI-10001078,25.824,6,0.2,9.3612,,,
CA-2018-135545,2018-11-24,Standard Class,,,,KM-16720,Kunst Miller,,,Email,United States,Los Angeles,California,90004.0,West,Toasted Muesli,With Fruit and Nuts,FUR-FU-10000397,79.76,4,0.0,22.3328,,,
CA-2020-155558,2020-10-26,Standard Class,Standard Processing,,,PG-18895,Paul Gonzalez,2020-11-04,,Email,United States,Rochester,Minnesota,55901.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001998,19.99,1,0.0,6.7966,9.0,,
CA-2020-155558,2020-10-26,Standard Class,Standard Processing,,,PG-18895,Paul Gonzalez,2020-11-04,,Email,United States,Rochester,Minnesota,55901.0,Central,Power Muesli,No Taste All Power,OFF-LA-10000134,6.16,2,0.0,2.9568,9.0,,
CA-2019-158568,2019-08-29,Standard Class,Standard Processing,,,RB-19465,Rick Bensley,2019-09-04,,Facebook,United States,Chicago,Illinois,60610.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.976,3,0.2,-10.7973,6.0,,
CA-2019-158568,2019-08-29,Standard Class,Standard Processing,,,RB-19465,Rick Bensley,2019-09-04,,Facebook,United States,Chicago,Illinois,60610.0,Central,Power Muesli,Nuts and more,OFF-PA-10003256,64.624,7,0.2,22.6184,6.0,,
CA-2019-158568,2019-08-29,Standard Class,Standard Processing,,,RB-19465,Rick Bensley,2019-09-04,,Facebook,United States,Chicago,Illinois,60610.0,Central,Power Muesli,Super Fibre Boost,OFF-BI-10002609,1.788,3,0.8,-3.0396,6.0,,
US-2018-156867,2018-11-13,Standard Class,,,,LC-16870,Lena Cacioppo,,,Email,United States,Aurora,Colorado,80013.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,238.896,6,0.2,-26.8758,,,
US-2018-156867,2018-11-13,Standard Class,,,,LC-16870,Lena Cacioppo,,,Email,United States,Aurora,Colorado,80013.0,West,Power Muesli,Super Fibre Boost,OFF-BI-10002794,36.882,3,0.7,-25.8174,,,
US-2018-156867,2018-11-13,Standard Class,,,,LC-16870,Lena Cacioppo,,,Email,United States,Aurora,Colorado,80013.0,West,Toasted Muesli,With Fruit and Nuts,FUR-FU-10004006,102.36,3,0.2,-3.8385,,,
CA-2020-119004,2020-11-23,Standard Class,Standard Processing,2020-11-30,2020-12-02,JM-15250,Janet Martin,2020-12-02,,Email,United States,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003499,74.112,8,0.2,17.6016,9.0,7.0,2.0
CA-2020-119004,2020-11-23,Standard Class,Standard Processing,2020-11-30,2020-12-02,JM-15250,Janet Martin,2020-12-02,,Email,United States,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Only Oats,TEC-PH-10002844,27.992,1,0.2,2.0994,9.0,7.0,2.0
CA-2020-119004,2020-11-23,Standard Class,Standard Processing,2020-11-30,2020-12-02,JM-15250,Janet Martin,2020-12-02,,Email,United States,Charlotte,North Carolina,28205.0,South,Power Muesli,Super Mega Protein,OFF-AR-10000390,3.304,1,0.2,1.0738,9.0,7.0,2.0
CA-2018-129476,2018-10-15,Standard Class,,,,PA-19060,Pete Armstrong,,,Facebook,United States,Orland Park,Illinois,60462.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000844,339.96,5,0.2,67.992,,,
CA-2018-119697,2018-12-28,Second Class,,,,EM-13960,Eric Murdock,,,Email,United States,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003657,54.384,2,0.2,1.3596,,,
CA-2017-166191,2017-12-05,Second Class,,,,DK-13150,David Kendrick,,,Sales,United States,Decatur,Illinois,62521.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.744,7,0.2,76.6395,,,
CA-2017-166191,2017-12-05,Second Class,,,,DK-13150,David Kendrick,,,Sales,United States,Decatur,Illinois,62521.0,Central,Power Muesli,Steel Cut,OFF-ST-10003455,24.816,2,0.2,1.8612,,,
CA-2017-158274,2017-11-19,Second Class,,,,RM-19675,Robert Marley,,,Facebook,United States,Monroe,Louisiana,71203.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002345,29.0,2,0.0,7.25,,,
CA-2017-158274,2017-11-19,Second Class,,,,RM-19675,Robert Marley,,,Facebook,United States,Monroe,Louisiana,71203.0,South,Special Projects Muesil,Only Oats,TEC-PH-10003273,503.96,4,0.0,131.0296,,,
